timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1669125599778,74,Survey Scale,405,Not Allowed,Backend 2-14,text,false,,314,272,190,619,http://192.168.0.16/:8080/survey/scale,74,0,0
1669125599681,172,Survey Scale,405,Not Allowed,Backend 2-8,text,false,,314,272,191,621,http://192.168.0.16/:8080/survey/scale,172,0,19
1669125599681,173,Survey Scale,405,Not Allowed,Backend 2-5,text,false,,314,272,191,622,http://192.168.0.16/:8080/survey/scale,173,0,19
1669125599721,133,Survey Scale,405,Not Allowed,Backend 2-43,text,false,,314,272,191,622,http://192.168.0.16/:8080/survey/scale,133,0,7
1669125599684,171,Survey Scale,405,Not Allowed,Backend 2-22,text,false,,314,272,191,622,http://192.168.0.16/:8080/survey/scale,171,0,19
1669125599720,139,Survey Scale,405,Not Allowed,Backend 2-34,text,false,,314,272,197,633,http://192.168.0.16/:8080/survey/scale,139,0,9
1669125599704,156,Survey Scale,405,Not Allowed,Backend 2-25,text,false,,314,272,197,633,http://192.168.0.16/:8080/survey/scale,156,0,13
1669125599688,172,Survey Scale,405,Not Allowed,Backend 2-15,text,false,,314,272,197,633,http://192.168.0.16/:8080/survey/scale,172,0,20
1669125599725,137,Survey Scale,405,Not Allowed,Backend 2-46,text,false,,314,272,197,635,http://192.168.0.16/:8080/survey/scale,137,0,11
1669125599704,162,Survey Scale,405,Not Allowed,Backend 2-32,text,false,,314,272,206,647,http://192.168.0.16/:8080/survey/scale,162,0,14
1669125599723,145,Survey Scale,405,Not Allowed,Backend 2-40,text,false,,314,272,206,648,http://192.168.0.16/:8080/survey/scale,145,0,12
1669125599721,153,Survey Scale,405,Not Allowed,Backend 2-50,text,false,,314,272,213,663,http://192.168.0.16/:8080/survey/scale,153,0,8
1669125599722,152,Survey Scale,405,Not Allowed,Backend 2-42,text,false,,314,272,213,663,http://192.168.0.16/:8080/survey/scale,152,0,10
1669125599733,143,Survey Scale,405,Not Allowed,Backend 2-61,text,false,,314,272,216,668,http://192.168.0.16/:8080/survey/scale,143,0,12
1669125599723,153,Survey Scale,405,Not Allowed,Backend 2-38,text,false,,314,272,216,668,http://192.168.0.16/:8080/survey/scale,153,0,12
1669125599722,154,Survey Scale,405,Not Allowed,Backend 2-41,text,false,,314,272,216,668,http://192.168.0.16/:8080/survey/scale,154,0,11
1669125599723,153,Survey Scale,405,Not Allowed,Backend 2-37,text,false,,314,272,216,668,http://192.168.0.16/:8080/survey/scale,153,0,12
1669125599724,153,Survey Scale,405,Not Allowed,Backend 2-51,text,false,,314,272,216,669,http://192.168.0.16/:8080/survey/scale,153,0,11
1669125599723,154,Survey Scale,405,Not Allowed,Backend 2-39,text,false,,314,272,216,669,http://192.168.0.16/:8080/survey/scale,154,0,12
1669125599731,151,Survey Scale,405,Not Allowed,Backend 2-52,text,false,,314,272,222,680,http://192.168.0.16/:8080/survey/scale,151,0,13
1669125599802,80,Survey Scale,405,Not Allowed,Backend 2-2,text,false,,314,272,222,680,http://192.168.0.16/:8080/survey/scale,80,0,0
1669125599723,161,Survey Scale,405,Not Allowed,Backend 2-36,text,false,,314,272,226,686,http://192.168.0.16/:8080/survey/scale,161,0,12
1669125599724,160,Survey Scale,405,Not Allowed,Backend 2-33,text,false,,314,272,226,686,http://192.168.0.16/:8080/survey/scale,160,0,12
1669125599802,83,Survey Scale,405,Not Allowed,Backend 2-35,text,false,,314,272,226,686,http://192.168.0.16/:8080/survey/scale,83,0,0
1669125599727,159,Survey Scale,405,Not Allowed,Backend 2-54,text,false,,314,272,229,689,http://192.168.0.16/:8080/survey/scale,159,0,12
1669125599802,87,Survey Scale,405,Not Allowed,Backend 2-45,text,false,,314,272,235,700,http://192.168.0.16/:8080/survey/scale,87,0,0
1669125599763,127,Survey Scale,405,Not Allowed,Backend 2-96,text,false,,314,272,235,700,http://192.168.0.16/:8080/survey/scale,127,0,21
1669125599797,93,Survey Scale,405,Not Allowed,Backend 2-53,text,false,,314,272,235,701,http://192.168.0.16/:8080/survey/scale,93,0,0
